Rank,Title,Year,Runtime,Certificate,IMDb Rating,Votes
236,Hachi: A Dog's Tale,N/A,N/A,N/A,8.1, (343K)
237,Hotel Rwanda,N/A,N/A,N/A,8.1, (392K)
238,Platoon,N/A,N/A,N/A,8.1, (472K)
239,The Exorcist,N/A,N/A,N/A,8.1, (499K)
240,The Iron Giant,N/A,N/A,N/A,8.1, (261K)
241,Rush,N/A,N/A,N/A,8.1, (560K)
242,The Wizard of Oz,N/A,N/A,N/A,8.1, (468K)
243,Stand by Me,N/A,N/A,N/A,8.1, (488K)
244,My Father and My Son,N/A,N/A,N/A,8.2, (101K)
245,The Battle of Algiers,N/A,N/A,N/A,8.1, (76K)
246,The Passion of Joan of Arc,N/A,N/A,N/A,8.1, (68K)
247,The Handmaiden,N/A,N/A,N/A,8.1, (204K)
248,Network,N/A,N/A,N/A,8.1, (186K)
Miracle in Cell No,7,N/A,N/A,N/A,8.2, (63K)
250,Drishyam,N/A,N/A,N/A,8.2, (109K)
